Suburb House  Price - 2021,,,,,,,,,,,,,,,,
,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,prelim 2022,change,change,Growth PA,
locality,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,2020-2021,2011-2021,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TRAVANCORE,672000,810000,905000,848000,1100000,1305000,1415000,1475000,1125000,1617500,1800000,NA,11,168,10.4,
TRENTHAM,287000,331500,407500,340000,422500,455000,475000,603000,614000,620000,820000,950000,32,186,11.1,
TRUGANINA,357000,341500,360000,390000,391000,430000,519500,571500,575000,580000,618000,655000,7,73,5.6,
TULLAMARINE,420000,393500,395000,412000,472500,530000,655000,665500,612000,640000,757500,845000,18,80,6.1,
TYABB,350500,372500,370500,366000,395000,430000,510500,548000,586500,590000,736000,827500,25,110,7.7,
UNDERBOOL,49500,28000,85000,75000,25000,62500,60000,62500,39000,62000,99000,NA,60,100,7.2,
UPPER FERNTREE GULLY,400000,410000,435000,500000,515000,582000,685000,700000,642500,735000,858000,885000,17,115,7.9,
UPWEY,415000,422500,425000,476000,515000,585000,680000,710000,702500,760500,899000,865000,18,117,8.0,
VENTNOR,365000,363500,370000,377500,423500,420000,465000,490000,540000,619500,770000,840000,24,111,7.8,
VENUS BAY,265500,238500,242500,237000,236000,258000,262500,305000,330000,375000,574500,659000,53,116,8.0,
VERMONT,552500,571000,610000,725000,855000,900000,1065000,980000,935500,1000000,1226500,1255000,23,122,8.3,
VERMONT SOUTH,674000,654500,722500,815000,1000000,1082500,1200500,1150000,1165000,1200000,1420000,1451000,18,111,7.7,
VIEWBANK,604500,589000,630000,725000,829500,920000,1000000,933000,920000,985000,1233000,1215000,25,104,7.4,
VIOLET TOWN,170000,204500,215000,199500,200000,238500,217000,242500,287500,328500,381500,317500,16,124,8.4,
WAHGUNYAH,190000,244000,190000,213500,267000,290000,270000,240000,355000,320000,387000,349500,21,104,7.4,
WALKERVILLE,229500,280000,279000,230000,246000,283500,275000,266500,334500,350000,461000,567000,32,101,7.2,
WALLAN,350000,335000,341500,356000,362000,375000,425000,490000,480000,520000,580000,625000,12,66,5.2,
WALLAN EAST,305000,317000,310000,306500,309500,352500,410000,502000,450000,490000,583500,611000,19,91,6.7,
WANDANA HEIGHTS,592500,557500,540000,582000,590000,592500,645000,700000,766500,827000,925000,1030000,12,56,4.6,
WANDIN NORTH,380500,379000,407500,439500,480000,496500,665000,665000,630000,715000,765000,900000,7,101,7.2,
WANGARATTA,240000,240000,240000,255000,272000,270500,270000,320000,319000,356500,425000,530000,19,77,5.9,
WANTIRNA,528000,515000,576000,667500,764000,801000,953000,906500,850000,910000,1065000,1105000,17,102,7.3,
WANTIRNA SOUTH,582000,542500,579000,676500,829000,875000,1005000,1000000,988500,1015000,1222000,1336000,20,110,7.7,
WARBURTON,315000,300000,310000,315000,325000,366000,418000,495000,512500,543000,675000,825000,24,114,7.9,
WARNEET,295000,284000,337000,355000,395000,390000,485000,534000,512500,600000,666000,NA,11,126,8.5,
WARRACKNABEAL,115000,105000,107500,110000,110000,123500,113000,112500,118000,140000,180000,214500,29,57,4.6,
WARRAGUL,295000,300000,315000,320000,342000,340000,365000,449000,460000,497500,580000,648000,17,97,7.0,
WARRANDYTE,657000,620000,640000,760000,829000,890000,1042500,1110000,994000,996000,1285000,1320000,29,96,6.9,
WARRANWOOD,632500,654000,603000,665000,790000,865000,943500,1010000,935000,957000,1145000,1323000,20,81,6.1,
WARRNAMBOOL,320000,316500,325000,323000,330000,320000,330000,350000,370000,415000,520000,587500,25,63,5.0,
WATERWAYS,688000,682000,667000,845000,902000,1050000,1127500,1110000,1270000,1408000,1445000,1270500,3,110,7.7,
WATSONIA,500000,462000,505000,555000,607500,698000,835000,795000,736000,790000,961000,950000,22,92,6.8,
WATSONIA NORTH,470500,462000,510000,572500,635000,702500,790000,770000,726500,795000,962500,980500,21,105,7.4,
WATTLE GLEN,569500,527000,475000,500500,569000,580000,620000,810000,778500,810000,924000,895000,14,62,5.0,
WAURN PONDS,421000,452500,446500,470000,480000,501000,530000,621500,641500,671000,727500,807500,8,73,5.6,
WEDDERBURN,123000,122500,154000,137500,110000,150000,155000,130000,138500,150000,176500,325000,18,43,3.7,
WEIR VIEWS,-,407000,327500,388000,389000,418000,440000,470000,465000,495500,530000,593500,7,0,NA,
WELSHPOOL,217000,190000,166000,193000,272500,180000,230000,259000,300000,242500,380000,400000,57,75,5.8,
WENDOUREE,235000,236500,243000,247000,250000,252500,267500,326000,335000,370000,465000,495000,26,98,7.1,
WENDOUREE WEST,166000,167500,190000,165000,207500,185000,200000,245000,259000,300000,380000,420000,27,129,8.6,
WERRIBEE,315000,300000,309000,315000,335000,403000,470000,510000,500000,513000,575000,620500,12,83,6.2,
WERRIBEE SOUTH,436000,440000,538000,585000,680000,540000,650000,735000,744500,650000,822500,685000,27,89,6.6,
WESBURN,327000,290000,312500,288500,395000,455000,455000,463500,530000,532000,665000,700000,25,103,7.4,
WEST BENDIGO,161000,205000,259000,355000,293500,270000,215000,269500,241500,363500,575000,NA,58,257,13.6,
WEST FOOTSCRAY,525000,532500,553000,637500,697000,798000,887500,875000,785000,835000,1000000,1100000,20,90,6.7,
WEST MELBOURNE,885000,720000,905000,916000,1005000,1104500,1350000,1370000,1017500,1215000,1260000,1166000,4,42,3.6,
WEST WODONGA,275000,267500,272500,296000,306000,308500,321000,322000,342500,370000,429000,475000,16,56,4.5,
WESTALL,490000,479000,513500,550000,610000,696000,780000,800000,744500,739000,851000,905000,15,74,5.7,
WESTGARTH,951000,840000,920000,1100000,1300000,1500000,1383000,1707500,1492500,1566000,2075000,1915000,33,118,8.1,
WESTMEADOWS,397500,377500,386500,419000,470000,500000,566000,620000,620000,605500,715500,650000,18,80,6.1,
WHEELERS HILL,650000,669000,740000,805000,999000,1050000,1160000,1118500,1010000,1173500,1371000,1458000,17,111,7.7,
WHITE HILLS,265000,275000,280000,306000,297500,305000,300000,313500,330000,355000,470000,515000,32,77,5.9,
WHITTINGTON,265000,252000,259000,262000,280000,265000,316500,395000,377500,404000,485000,583000,20,83,6.2,
WHITTLESEA,372500,365000,375000,375000,400000,448500,469500,577500,580000,610000,675000,797500,11,81,6.1,
WILLIAMS LANDING,371000,450000,470000,450000,510000,530000,600000,685000,657000,680000,760000,802500,12,105,7.4,
WILLIAMSTOWN,900000,901000,920000,970000,1120000,1282500,1440000,1415000,1350000,1402500,1635500,1575500,17,82,6.2,
WILLIAMSTOWN NORTH,839000,680000,768000,803500,862500,1135500,1024000,847000,950000,905000,1250000,1610000,38,49,4.1,
WIMBLEDON HEIGHTS,259000,290000,271500,310000,291500,299000,334000,410000,386500,435000,592000,700000,36,129,8.6,
WINCHELSEA,260000,268500,287000,287500,262000,267000,357000,391000,430000,480000,552500,593000,15,113,7.8,
WINDSOR,824000,818000,835000,956500,1094000,1505000,1420000,1422500,1350000,1350000,1640000,1863000,21,99,7.1,
WINTER VALLEY,329000,353500,344500,360000,365000,362500,375000,405000,435000,470000,575000,601000,22,75,5.7,
WODONGA,279500,255500,282500,295000,295000,315000,341500,350000,331000,348000,440000,490000,26,57,4.6,
WOLLERT,450000,410000,400000,395000,432000,460000,520000,538000,570000,575000,640000,705000,11,42,3.6,
WONGA PARK,672500,622500,674500,673500,735000,801000,962500,1150000,1111000,1077500,1230000,1410000,14,83,6.2,
WONTHAGGI,261500,229000,225000,251000,262000,265000,289000,339000,375000,405000,550000,547500,36,111,7.7,
WOODEND,475000,430000,470000,460000,482500,460000,560000,665000,747500,765000,895000,937500,17,88,6.5,
WOOLAMAI WATERS,350000,350000,349000,381500,340000,375000,418000,469500,495500,560000,766500,818000,37,119,8.2,
WOORI YALLOCK,312000,315000,330000,317000,358000,391500,480000,520000,510000,552000,635000,615500,15,104,7.4,
WURRUK,216500,235000,285000,222000,230000,259500,235000,310000,210000,267000,352500,436500,32,63,5.0,
WY YUNG,288500,325000,285000,285000,290000,333500,328000,315000,349000,370000,453000,395000,22,57,4.6,
WYCHEPROOF,86000,96500,95000,103000,100000,82500,100000,124500,141500,131000,170000,185000,30,98,7.1,
WYNDHAM VALE,290000,286500,288000,306000,325000,365000,435500,474000,460500,480000,530000,575000,10,83,6.2,
YACKANDANDAH,290000,272500,327500,318000,300000,392500,446000,472500,497500,490000,669000,780000,37,131,8.7,
YALLAMBIE,506000,471000,532500,580000,665000,713500,781000,810000,792500,832500,990000,910000,19,96,6.9,
YALLOURN NORTH,139000,161000,135000,149500,153000,165500,180000,172000,191000,206000,263000,302500,28,89,6.6,
YARRA GLEN,425000,395000,420000,460000,530000,540000,620000,670000,670000,732500,850500,765000,16,100,7.2,
YARRA JUNCTION,365000,397000,406500,357500,417500,422500,535000,562500,582500,595000,687000,765000,15,88,6.5,
YARRAGON,255000,266000,258000,297000,284000,300000,280000,390000,410000,414000,565000,595000,37,122,8.3,
YARRAM,195500,215000,190000,202500,245000,230000,225000,218000,240000,260000,360000,452500,38,84,6.3,
YARRAVILLE,607000,613000,696000,710000,810000,900500,1000000,1045000,971000,1030000,1185000,1350000,15,95,6.9,
YARRAWONGA,270000,300000,302500,297000,300500,320000,324500,345000,375000,456500,560000,695000,23,107,7.6,
YEA,270000,255000,260000,255000,260000,305000,385000,390000,435500,422500,560000,610000,33,107,7.6,
YINNAR,208000,221500,220000,240000,182500,230000,270000,245000,255000,292500,460000,562500,57,121,8.3,
