Date, Open, High, Low, Close
11/18/21, 7368.7, 7398.2, 7343.8, 7379.2
11/17/21, 7418.7, 7431.1, 7342.9, 7369.9
11/16/21, 7458.7, 7459.9, 7403.5, 7420.4
11/15/21, 7439.4, 7479.1, 7437.9, 7470.1
11/12/21, 7394.8, 7465.8, 7394.0, 7443.0
11/11/21, 7420.6, 7423.8, 7329.5, 7381.9
11/10/21, 7429.8, 7460.5, 7411.9, 7423.9
11/09/21, 7459.0, 7468.6, 7434.2, 7434.2
11/08/21, 7453.1, 7474.3, 7433.4, 7452.2
11/05/21, 7425.9, 7477.2, 7424.4, 7456.9
11/04/21, 7401.7, 7428.0, 7398.4, 7428.0
11/03/21, 7338.5, 7431.6, 7336.9, 7392.7
11/02/21, 7371.5, 7395.9, 7311.6, 7324.3
11/01/21, 7332.5, 7388.3, 7325.6, 7370.8
10/29/21, 7437.9, 7447.0, 7318.8, 7323.7
10/28/21, 7440.4, 7444.6, 7404.6, 7430.4
10/27/21, 7440.6, 7473.9, 7419.7, 7448.7
10/26/21, 7449.3, 7471.3, 7439.2, 7443.4
10/25/21, 7418.9, 7471.7, 7415.8, 7441.0
10/22/21, 7407.0, 7431.4, 7391.3, 7415.5
10/21/21, 7426.3, 7446.7, 7403.7, 7415.4
10/20/21, 7387.9, 7449.5, 7387.3, 7413.7
10/19/21, 7382.1, 7406.9, 7373.8, 7374.9
10/18/21, 7366.7, 7393.8, 7354.1, 7381.1
10/15/21, 7329.5, 7373.2, 7324.8, 7362.0
10/14/21, 7281.1, 7358.6, 7281.1, 7311.7
10/13/21, 7281.8, 7294.0, 7256.3, 7272.5
10/12/21, 7297.9, 7330.4, 7260.4, 7280.7
10/11/21, 7314.3, 7314.3, 7250.0, 7299.8
10/08/21, 7272.8, 7322.0, 7266.7, 7320.1
10/07/21, 7216.9, 7265.2, 7216.1, 7256.7
10/06/21, 7258.4, 7279.4, 7183.5, 7206.5
10/05/21, 7266.9, 7269.5, 7202.7, 7248.4
10/04/21, 7202.3, 7305.9, 7202.1, 7278.5
10/01/21, 7310.7, 7310.7, 7157.9, 7185.5
09/30/21, 7204.1, 7332.2, 7204.1, 7332.2
09/29/21, 7253.1, 7254.0, 7145.7, 7196.7
09/28/21, 7380.9, 7380.9, 7275.6, 7275.6
09/27/21, 7347.3, 7416.4, 7347.3, 7384.2
09/24/21, 7374.4, 7377.0, 7334.2, 7342.6
09/23/21, 7310.4, 7387.0, 7309.3, 7370.2
09/22/21, 7269.7, 7338.6, 7241.8, 7296.9
09/21/21, 7237.7, 7285.9, 7191.7, 7273.8
09/20/21, 7390.4, 7390.4, 7233.6, 7248.2
09/17/21, 7447.0, 7447.0, 7376.1, 7403.7
